Fecha_filtro	Marea_filtro
03/05/2021 03:20:00	0.612
03/05/2021 03:30:00	0.667
03/05/2021 03:40:00	0.731
03/05/2021 03:50:00	0.801
03/05/2021 04:00:00	0.878
03/05/2021 04:10:00	0.961
03/05/2021 04:20:00	1.05
03/05/2021 04:30:00	1.144
03/05/2021 04:40:00	1.242
03/05/2021 04:50:00	1.344
03/05/2021 05:00:00	1.449
03/05/2021 05:10:00	1.556
03/05/2021 05:20:00	1.665
03/05/2021 05:30:00	1.775
03/05/2021 05:40:00	1.884
03/05/2021 05:50:00	1.994
03/05/2021 06:00:00	2.101
03/05/2021 06:10:00	2.207
03/05/2021 06:20:00	2.31
03/05/2021 06:30:00	2.41
03/05/2021 06:40:00	2.505
03/05/2021 06:50:00	2.596
03/05/2021 07:00:00	2.682
03/05/2021 07:10:00	2.761
03/05/2021 07:20:00	2.834
03/05/2021 07:30:00	2.9
03/05/2021 07:40:00	2.958
03/05/2021 07:50:00	3.009
03/05/2021 08:00:00	3.051
03/05/2021 08:10:00	3.086
03/05/2021 08:20:00	3.111
03/05/2021 08:30:00	3.128
03/05/2021 08:40:00	3.136
03/05/2021 08:50:00	3.135
03/05/2021 09:00:00	3.126
03/05/2021 09:10:00	3.107
03/05/2021 09:20:00	3.081
03/05/2021 09:30:00	3.046
03/05/2021 09:40:00	3.003
03/05/2021 09:50:00	2.952
03/05/2021 10:00:00	2.894
03/05/2021 10:10:00	2.829
03/05/2021 10:20:00	2.758
03/05/2021 10:30:00	2.681
03/05/2021 10:40:00	2.599
03/05/2021 10:50:00	2.512
03/05/2021 11:00:00	2.422
03/05/2021 11:10:00	2.328
03/05/2021 11:20:00	2.232
03/05/2021 11:30:00	2.134
03/05/2021 11:40:00	2.034
03/05/2021 11:50:00	1.935
03/05/2021 12:00:00	1.835
03/05/2021 12:10:00	1.737
03/05/2021 12:20:00	1.641
03/05/2021 12:30:00	1.546
03/05/2021 12:40:00	1.455
03/05/2021 12:50:00	1.368
03/05/2021 13:00:00	1.285
03/05/2021 13:10:00	1.207
03/05/2021 13:20:00	1.134
03/05/2021 13:30:00	1.067
03/05/2021 13:40:00	1.006
03/05/2021 13:50:00	0.952
03/05/2021 14:00:00	0.906
03/05/2021 14:10:00	0.867
03/05/2021 14:20:00	0.835
03/05/2021 14:30:00	0.811
03/05/2021 14:40:00	0.796
03/05/2021 14:50:00	0.788
03/05/2021 15:00:00	0.788
03/05/2021 15:10:00	0.797
03/05/2021 15:20:00	0.813
03/05/2021 15:30:00	0.837
03/05/2021 15:40:00	0.869
03/05/2021 15:50:00	0.908
03/05/2021 16:00:00	0.954
03/05/2021 16:10:00	1.007
03/05/2021 16:20:00	1.066
03/05/2021 16:30:00	1.131
03/05/2021 16:40:00	1.201
03/05/2021 16:50:00	1.276
03/05/2021 17:00:00	1.355
03/05/2021 17:10:00	1.439
03/05/2021 17:20:00	1.525
03/05/2021 17:30:00	1.614
03/05/2021 17:40:00	1.705
03/05/2021 17:50:00	1.798
03/05/2021 18:00:00	1.891
03/05/2021 18:10:00	1.984
03/05/2021 18:20:00	2.076
03/05/2021 18:30:00	2.167
03/05/2021 18:40:00	2.257
03/05/2021 18:50:00	2.343
03/05/2021 19:00:00	2.426
03/05/2021 19:10:00	2.505
03/05/2021 19:20:00	2.58
03/05/2021 19:30:00	2.649
03/05/2021 19:40:00	2.714
03/05/2021 19:50:00	2.772
03/05/2021 20:00:00	2.824
03/05/2021 20:10:00	2.869
03/05/2021 20:20:00	2.906
03/05/2021 20:30:00	2.937
03/05/2021 20:40:00	2.96
03/05/2021 20:50:00	2.975
03/05/2021 21:00:00	2.983
03/05/2021 21:10:00	2.982
03/05/2021 21:20:00	2.974
03/05/2021 21:30:00	2.958
03/05/2021 21:40:00	2.933
03/05/2021 21:50:00	2.901
03/05/2021 22:00:00	2.862
03/05/2021 22:10:00	2.815
03/05/2021 22:20:00	2.761
03/05/2021 22:30:00	2.701
03/05/2021 22:40:00	2.634
03/05/2021 22:50:00	2.562
03/05/2021 23:00:00	2.485
